VARIABLES="X""Y""dispX""dispY""sigmaxx""sigmayy""sigmaxy""ResiX""ResiY""ReX""ReY"
0.58745 0.122074 8.52083e-08 1.76814e-08 -10271.6 23781.6 -7545.67 93.996 17.4147 0.93996 0.174147
0.57775 0.161878 8.40173e-08 2.34256e-08 -9011.8 22589.2 -9822.45 91.3077 22.8244 0.913077 0.228244
0.565357 0.200928 8.2197e-08 2.93406e-08 -7498.8 21370.9 -11764.3 88.3164 28.5406 0.883164 0.285406
0.550327 0.239041 7.9672e-08 3.456e-08 -5750.56 19512.4 -13674.6 84.6433 33.8491 0.846433 0.338491
0.532731 0.276039 7.78151e-08 4.02032e-08 -3781.92 17652.2 -15182.2 81.3606 39.1415 0.813606 0.391415
0.512652 0.31175 7.39562e-08 4.5258e-08 -1884.89 15358.5 -16247 76.7395 44.4523 0.767395 0.444523
0.490182 0.346008 7.22559e-08 5.02066e-08 -543.212 13095.4 -17632.8 73.503 49.2644 0.73503 0.492644
0.465427 0.378653 6.69035e-08 5.53778e-08 3585.87 10705.8 -18221.8 67.8537 54.7077 0.678537 0.547077
0.438502 0.409532 6.43329e-08 5.91524e-08 5091.3 7991.77 -18662.6 64.3288 58.8371 0.643288 0.588371
0.409532 0.438502 5.91524e-08 6.43329e-08 7991.77 5091.3 -18662.6 58.8371 64.3288 0.588371 0.643288
0.378653 0.465427 5.53778e-08 6.69035e-08 10705.8 3585.87 -18221.8 54.7077 67.8538 0.547077 0.678538
0.346008 0.490182 5.02066e-08 7.22559e-08 13095.4 -543.211 -17632.8 49.2644 73.503 0.492644 0.73503
0.31175 0.512652 4.5258e-08 7.39562e-08 15358.5 -1884.89 -16247 44.4523 76.7395 0.444523 0.767395
0.276039 0.532731 4.02032e-08 7.78151e-08 17652.2 -3781.92 -15182.2 39.1415 81.3606 0.391415 0.813606
0.239041 0.550327 3.456e-08 7.9672e-08 19512.4 -5750.56 -13674.6 33.8491 84.6433 0.338491 0.846433
0.200928 0.565357 2.93406e-08 8.2197e-08 21370.9 -7498.8 -11764.3 28.5406 88.3164 0.285406 0.883164
0.161878 0.57775 2.34256e-08 8.40173e-08 22589.2 -9011.8 -9822.45 22.8244 91.3078 0.228244 0.913078
0.122074 0.58745 1.76814e-08 8.52083e-08 23781.6 -10271.6 -7545.67 17.4147 93.9961 0.174147 0.939961
0.0817 0.594412 1.20977e-08 8.64147e-08 24257 -11148.1 -5420.59 11.6783 96.0285 0.116783 0.960285
0.0409455 0.598601 5.86436e-09 8.74038e-08 25830.2 -11831.2 -2625.85 5.75314 97.8968 0.0575314 0.978968
0 0.6 0 8.72654e-08 25041.3 -12011.3 3.49997 0 3.49997 0 0.583328
0.65 0 8.2411e-08 0 -9521.18 22602 3.44314 3.44314 0 0.573856 0
0.648717 0.0408138 8.25174e-08 5.19526e-09 -9532.7 22626.5 -2255.48 96.2985 5.34875 0.962985 0.0534875
0.644875 0.0814666 8.14329e-08 1.04441e-08 -8270.22 22254.9 -3834 94.5298 10.8343 0.945298 0.108343
0.638487 0.121798 8.12404e-08 1.58636e-08 -8175.66 21228.4 -6091.41 92.985 16.285 0.92985 0.16285
0.629579 0.161648 7.95003e-08 2.05938e-08 -7314.9 20426.5 -7650.24 90.175 21.24 0.90175 0.2124
0.618187 0.200861 7.82321e-08 2.55574e-08 -6270.71 19282.8 -9487.75 87.6816 26.4694 0.876816 0.264694
0.604355 0.239281 7.63439e-08 3.01882e-08 -4877.69 18060.1 -10802.1 84.3261 30.9656 0.843261 0.309656
0.588138 0.276757 7.45522e-08 3.50006e-08 -3669.04 16680.8 -12251.6 81.3468 35.9552 0.813468 0.359552
0.569599 0.31314 7.19053e-08 3.94413e-08 -1882.22 14966.3 -13244.7 77.4754 40.3287 0.774754 0.403287
0.548813 0.348287 7.01981e-08 4.38794e-08 -666.415 13547.2 -14426.3 74.5717 44.9023 0.745717 0.449023
0.525861 0.38206 6.63216e-08 4.83796e-08 2064.65 11355 -15159.1 70.0313 49.3811 0.700313 0.493811
0.500834 0.414326 6.36354e-08 5.2301e-08 3303.44 9776.89 -15732.8 66.2957 53.7429 0.662957 0.537429
0.47383 0.444956 5.98484e-08 5.65061e-08 5606.6 7428.14 -16031.2 62.095 58.0415 0.62095 0.580415
0.444956 0.47383 5.65061e-08 5.98484e-08 7428.14 5606.6 -16031.2 58.0415 62.095 0.580415 0.62095
0.414326 0.500834 5.2301e-08 6.36354e-08 9776.89 3303.44 -15732.8 53.7429 66.2958 0.537429 0.662958
0.38206 0.525861 4.83796e-08 6.63216e-08 11355 2064.65 -15159.1 49.3811 70.0313 0.493811 0.700313
